AnnoS;AteneoCOD;AteneoNOME;Lau_D
2016;5403;Perugia Stranieri;59
2016;201;Piemonte Orientale;48
2016;5001;Pisa;143
2016;8003;Reggio Calabria - Dante Alighieri;5
2016;5808;Roma Biomedico;7
2016;5812;Roma Europea;2
2016;5806;Roma Foro Italico;16
2016;5801;Roma La Sapienza;429
2016;5817;Roma Link Campus;3
2016;5805;Roma Luiss;51
2016;5803;Roma LUMSA;43
2016;5810;Roma Marconi - telematica;8
2016;5816;Roma San Raffaele - telematica;1
2016;5802;Roma Tor Vergata;12
2016;5807;Roma Tre;121
2016;5815;Roma UNICUSANO - telematica;9
2016;5813;Roma UNINETTUNO - telematica;12
2016;5809;Roma UNINT;11
2016;5811;Roma UNITELMA - telematica;1
2016;7501;Salento;15
2016;6501;Salerno;29
2016;6201;Sannio;12
2016;9001;Sassari;26
2016;5201;Siena;83
2016;5202;Siena Stranieri;29
2016;6701;Teramo;17
2016;101;Torino;299
2016;102;Torino Politecnico;428
2016;6902;Torrevecchia Teatina Leonardo da Vinci - telematica;1
2016;2201;Trento;213
2016;3201;Trieste;218
2016;5601;Tuscia;1
2016;3001;Udine;97
2016;4101;Urbino;95
2016;2702;Venezia Iuav;38
2016;2301;Verona;77
2015;701;Aosta;9
2015;7201;Bari;44
2015;7202;Bari Politecnico;4
2015;7601;Basilicata;7
2015;1601;Bergamo;53
2015;3701;Bologna;716
2015;2101;Bolzano;85
2015;401;Bra Scienze Gastronomiche;19
2015;1701;Brescia;92
2015;2701;Ca' Foscari Venezia;85
2015;9201;Cagliari;20
2015;7801;Calabria;88
2015;4302;Camerino;67
2015;7203;Casamassima – LUM G. Degennaro;2
2015;6001;Cassino;14
2015;1201;Castellanza LIUC;4
2015;8701;Catania;24
2015;7901;Catanzaro;4
2015;6901;Chieti e Pescara;57
2015;8601;Enna KORE;4
2015;3801;Ferrara;104
2015;4801;Firenze;287
2015;7101;Foggia;6
2015;1001;Genova;245
2015;1202;Insubria;53
2015;6601;L'Aquila;77
2015;4301;Macerata;38
2015;4201;Marche;42
2015;8301;Messina;24
2015;1501;Milano;317
2015;1509;Milano Bicocca;119
2015;1503;Milano Bocconi;301
2015;1504;Milano Cattolica;179
2015;1505;Milano IULM;35
2015;1502;Milano Politecnico;252
2015;1508;Milano San Raffaele;5
2015;3601;Modena e Reggio Emilia;104
2015;7001;Molise;5
2015;6304;Napoli Benincasa;2
2015;6301;Napoli Federico II;44
2015;6303;Napoli L'Orientale;21
2015;6302;Napoli Parthenope;1
2015;6307;Napoli Pegaso - telematica;2
2015;6306;Napoli Vanvitelli;4
2015;1301;Novedrate e-Campus - telematica;15
2015;2801;Padova;208
2015;8201;Palermo;52
2015;3401;Parma;127
2015;1801;Pavia;174
2015;5401;Perugia;124
2015;5403;Perugia Stranieri;85
2015;201;Piemonte Orientale;30
2015;5001;Pisa;146
2015;8003;Reggio Calabria - Dante Alighieri;2
2015;5808;Roma Biomedico;6
2015;5812;Roma Europea;4
2015;5806;Roma Foro Italico;13
2015;5801;Roma La Sapienza;365
2015;5805;Roma Luiss;36
2015;5803;Roma LUMSA;31
2015;5810;Roma Marconi - telematica;3
2015;5816;Roma San Raffaele - telematica;4
2015;5802;Roma Tor Vergata;5
2015;5807;Roma Tre;94
2015;5815;Roma UNICUSANO - telematica;7
2015;5813;Roma UNINETTUNO - telematica;13
2015;5809;Roma UNINT;6
2015;5811;Roma UNITELMA - telematica;2
